,rmse,mae,mape
"((5, 0, 11), (0, 0, 0, 7))",30142.203823961172,23472.53885516032,4.018554637267912
"((5, 0, 11), (0, 0, 0, 0))",30142.203823961172,23472.53885516032,4.018554637267912
"((6, 0, 12), (5, 0, 0, 7))",30142.208589178692,23472.620733238997,4.018564473665922
"((6, 2, 3), (0, 0, 0, 0))",30142.2314801834,23473.012470372043,4.018611534886929
"((6, 2, 3), (0, 0, 0, 7))",30142.2314801834,23473.012470372043,4.018611534886929
"((3, 0, 0), (1, 0, 0, 7))",30142.254562870366,23473.40486772355,4.0186586754230795
"((4, 0, 1), (0, 0, 1, 7))",30142.277511103875,23473.792422560735,4.018705234205247
"((2, 0, 0), (0, 0, 2, 7))",30142.308385274948,23474.309896888226,4.0187674008257614
"((8, 1, 0), (0, 0, 2, 7))",30142.351727643312,23475.02893269675,4.018853781973327
"((2, 0, 10), (3, 0, 0, 7))",30142.399136439766,23475.80583567617,4.01894711497582
"((3, 0, 0), (0, 0, 2, 7))",30142.44099174055,23476.48369104585,4.019028548923924
"((2, 2, 0), (0, 1, 2, 7))",30142.46358009798,23476.846472031848,4.019072131507037
"((7, 2, 1), (0, 0, 0, 0))",30142.48709303394,23477.221887613614,4.019117231943457
"((7, 2, 1), (0, 0, 0, 7))",30142.48709303394,23477.221887613614,4.019117231943457
"((4, 0, 8), (1, 0, 0, 7))",30142.5412438474,23478.07810039698,4.01922009280506
"((8, 2, 0), (0, 1, 1, 7))",30142.606022653115,23479.087542710975,4.019341361849591
"((2, 0, 12), (0, 0, 0, 7))",30142.6089528364,23479.132833113654,4.019346802798304
"((2, 0, 12), (0, 0, 0, 0))",30142.6089528364,23479.132833113654,4.019346802798304
"((1, 1, 7), (4, 1, 0, 7))",30142.673241252996,23480.118689588573,4.019465238365252
"((3, 1, 7), (0, 0, 0, 7))",30142.71760367787,23480.790486079724,4.019545944431833
"((3, 1, 7), (0, 0, 0, 0))",30142.71760367787,23480.790486079724,4.019545944431833
"((10, 0, 2), (0, 0, 2, 7))",30142.753468085513,23481.328687193283,4.019610601058469
"((3, 2, 10), (3, 0, 0, 7))",30142.798695773483,23482.001317728504,4.0196914073226795
"((7, 2, 8), (0, 1, 0, 7))",30142.81489452885,23482.240612425274,4.019720154918096
"((5, 0, 2), (0, 0, 2, 7))",30142.83523057272,23482.539840454305,4.019756102586104
"((1, 0, 3), (0, 0, 2, 7))",30142.843974108655,23482.66809295582,4.019771510161259
"((3, 0, 9), (5, 0, 0, 7))",30142.87290877564,23483.09081449417,4.0198222936843475
"((2, 2, 7), (1, 0, 0, 7))",30142.90192470992,23483.512138335136,4.019872909295487
"((3, 0, 4), (0, 0, 0, 7))",30142.94808832611,23484.17723356475,4.019952810308056
"((3, 0, 4), (0, 0, 0, 0))",30142.94808832611,23484.17723356475,4.019952810308056
"((1, 2, 8), (3, 0, 0, 7))",30143.020704788407,23485.21085767974,4.0200769844258755
"((2, 0, 9), (2, 0, 0, 7))",30143.028330074525,23485.318525896648,4.020089919114278
"((7, 2, 0), (0, 1, 1, 7))",30143.058975106214,23485.74959891119,4.02014170593941
"((9, 0, 6), (0, 0, 1, 7))",30143.09249816145,23486.218205436435,4.020198001841405
"((5, 2, 6), (0, 1, 0, 7))",30143.110457626542,23486.46800610364,4.020228011568376
"((9, 2, 7), (0, 1, 0, 7))",30143.151864062816,23487.040674416767,4.020296808901521
"((0, 1, 2), (0, 0, 2, 7))",30143.153151388873,23487.058406634234,4.020298939156057
"((6, 0, 8), (2, 0, 0, 7))",30143.176434386627,23487.37837675487,4.020337378668916
"((1, 2, 1), (0, 1, 0, 7))",30143.198711515957,23487.683221233714,4.0203740010674105
"((3, 1, 3), (0, 0, 0, 0))",30143.21701289877,23487.93271919231,4.020403974428575
"((3, 1, 3), (0, 0, 0, 7))",30143.21701289877,23487.93271919231,4.020403974428575
"((6, 2, 2), (0, 0, 0, 7))",30143.360472545133,23489.860011303146,4.020635509078525
"((6, 2, 2), (0, 0, 0, 0))",30143.360472545133,23489.860011303146,4.020635509078525
"((6, 0, 10), (2, 0, 0, 7))",30143.380597213956,23490.126466807287,4.020667519629251
"((4, 0, 6), (0, 0, 1, 7))",30143.393497705172,23490.296782417005,4.020687980443081
"((4, 1, 6), (0, 1, 0, 7))",30143.4160740951,23490.593929342027,4.020723678098295
"((4, 0, 0), (0, 0, 1, 7))",30143.44528587938,23490.976706028177,4.020769662858747
"((2, 1, 1), (0, 0, 2, 7))",30143.510619482375,23491.82598355227,4.020871690555092
"((7, 2, 0), (0, 0, 2, 7))",30143.522857712564,23491.984039736933,4.020890678586632
"((4, 0, 11), (0, 1, 0, 7))",30143.557355267752,23492.427857708644,4.020943996523308
"((1, 1, 0), (0, 1, 0, 7))",30143.58473904195,23492.77837334491,4.020986105612369
